Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId,geometry
479125,SMART & FINAL 491,2742 E Indian School Rd,NA,Phoenix,AZ,85016,6854,MARICOPA,Super Store,33.495026,-112.02221,NA,NA,19222,"c(-112.02221, 33.495026)"
344466,LA ESTRELLA INC,3835 W 26th St,NA,Chicago,IL,60623,3810,COOK,Grocery Store,41.844284,-87.721222,NA,NA,19362,"c(-87.721222, 41.844284)"
345022,Pete's Fresh Market 1,5724 S Kedzie Ave,NA,Chicago,IL,60629,2408,COOK,Super Store,41.788853,-87.703461,NA,NA,19410,"c(-87.703461, 41.788853)"
540420,Super Food & Liquor Inc,1049 W Bryn Mawr Ave,NA,Chicago,IL,60660,4631,COOK,Grocery Store,41.983601,-87.657455,NA,NA,19427,"c(-87.657455, 41.983601)"
481350,DISCOUNT MEAT CO.,339 W 79th St,NA,Chicago,IL,60620,1132,COOK,Super Store,41.750774,-87.633423,NA,NA,19706,"c(-87.633423, 41.750774)"
480227,Jewel Food Store 3368,550 N State St,NA,Chicago,IL,60610,4315,COOK,Supermarket,41.903862,-87.6287,NA,NA,19774,"c(-87.6287, 41.903862)"
346172,Albertsons 4,3130 W Carefree Hwy,NA,Phoenix,AZ,85086,3200,MARICOPA,Supermarket,33.798428,-112.12767,NA,NA,19938,"c(-112.12767, 33.798428)"
430613,Food City 148,3205 E McDowell Rd,NA,Phoenix,AZ,85008,3886,MARICOPA,Super Store,33.465706,-112.01279,NA,NA,20027,"c(-112.01279, 33.465706)"
1585807,ALDI 40083,3930 N Kilpatrick,NA,Chicago,IL,60641,    ,COOK,Supermarket,41.952511,-87.744667,NA,NA,20110,"c(-87.744667, 41.952511)"
433649,Kaps Retail LLC,2630 Riopelle St,NA,Detroit,MI,48207,4511,WAYNE,Supermarket,42.347424,-83.039124,NA,NA,20118,"c(-83.039124, 42.347424)"
431543,KOL TUV KOSHER FDS INC.,2938 W Devon Ave,NA,Chicago,IL,60659,1556,COOK,Grocery Store,41.997555,-87.703331,NA,NA,20272,"c(-87.703331, 41.997555)"
389505,Food City 95,1940 W Indian School Rd,NA,Phoenix,AZ,85015,5112,MARICOPA,Super Store,33.495049,-112.10096,NA,NA,20342,"c(-112.10096, 33.495049)"
388158,EL CASTILLO MEAT MARKET,3704 W 55th St,NA,Chicago,IL,60632,3229,COOK,Grocery Store,41.793678,-87.716156,NA,NA,20509,"c(-87.716156, 41.793678)"
389754,L & P Foods,7047 S State St,NA,Chicago,IL,60637,4513,COOK,Super Store,41.765995,-87.624863,NA,NA,20530,"c(-87.624863, 41.765995)"
432840,PAR BIRDIE FOODS,2234 W Devon Ave,NA,Chicago,IL,60659,2043,COOK,Grocery Store,41.997837,-87.686455,NA,NA,20925,"c(-87.686455, 41.997837)"
628843,Jewel Food Store 3345,1224 S Wabash Ave,NA,Chicago,IL,60605,2401,COOK,Supermarket,41.866753,-87.625885,NA,NA,21525,"c(-87.625885, 41.866753)"
398898,LOI PHAT MARKET,1702 W Camelback Rd,Ste 5,Phoenix,AZ,85015,3347,MARICOPA,Grocery Store,33.509647,-112.09615,NA,NA,21600,"c(-112.09615, 33.509647)"
398964,Tony's Fresh Market 767,2500 N Central Ave,NA,Chicago,IL,60639,1322,COOK,Super Store,41.926708,-87.766129,NA,NA,21639,"c(-87.766129, 41.926708)"
545304,FRY'S 128,744 W Camelback Rd,NA,Phoenix,AZ,85013,2207,MARICOPA,Super Store,33.509453,-112.08347,NA,NA,21954,"c(-112.08347, 33.509453)"
563508,Imperial Fresh Markets,14424 Schaefer Hwy,NA,Detroit,MI,48227,3668,WAYNE,Super Store,42.39418,-83.178734,NA,Fair Food Network,22066,"c(-83.178734, 42.39418)"
411402,ALDI 40003 40003,4500 N Broadway St,NA,Chicago,IL,60640,5602,COOK,Supermarket,41.963585,-87.65625,NA,NA,22774,"c(-87.65625, 41.963585)"
410631,Jewel Food Store 901,3400 N Western Ave,NA,Chicago,IL,60618,6012,COOK,Supermarket,41.943146,-87.68824,NA,NA,22856,"c(-87.68824, 41.943146)"
406005,Trader Joe's 691,1840 N Clybourn Ave # 200,NA,Chicago,IL,60614,7923,COOK,Supermarket,41.914436,-87.654495,NA,NA,22982,"c(-87.654495, 41.914436)"
363876,FIESTA SUPERMERCADO INC.,3307 W 63rd St,NA,Chicago,IL,60629,3316,COOK,Supermarket,41.778885,-87.705757,NA,NA,23483,"c(-87.705757, 41.778885)"
364240,Grand Food Market Inc,5202 W Grand Ave,NA,Chicago,IL,60639,3008,COOK,Grocery Store,41.917377,-87.756203,NA,NA,23522,"c(-87.756203, 41.917377)"
303735,Food City 12,2124 E McDowell Rd,NA,Phoenix,AZ,85006,2458,MARICOPA,Super Store,33.465824,-112.03589,NA,NA,23770,"c(-112.03589, 33.465824)"
363423,SAFEWAY  413,550 E Bell Rd,NA,Phoenix,AZ,85022,2313,MARICOPA,Supermarket,33.640434,-112.06716,NA,NA,23877,"c(-112.06716, 33.640434)"
304623,PEORIA PACKING LTD.,1300 W Lake St,NA,Chicago,IL,60607,1512,COOK,Super Store,41.885525,-87.658905,NA,NA,23990,"c(-87.658905, 41.885525)"
